Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q,"['Solar Panel One Flux (Raw V)', 'Solar Panel Two Flux (Raw V)', 'Solar Panel Three Flux (Raw V)', 'Solar Panel Four Flux (Raw V)']"
17:40:55.71,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.74,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.77,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.80,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.82,-27.400000000000002,19.293333333333333,-24.90666666666667,0.13609755878048785,0.05817073195121941,0.34089430682926836,0.008797653958944282,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.60893741  0.44081913 -0.65944956],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.958863123722907,-55.12870508290007,166.2156454293854,[ 0.87455225  0.1131046  -0.47125242  0.01693704],[ 0.86854447  0.10018724 -0.48514142  0.01519285],[0. 0. 0. 0.]
17:40:55.85,-27.360000000000003,19.293333333333333,-24.893333333333334,0.1970731685365854,0.18012195146341453,0.21894308731707324,0.011730205278592375,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.60850468  0.4411602  -0.6596209 ],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.960234650987058,-55.12677549598208,166.17411551057216,[ 0.87455196  0.11294751 -0.47127922  0.01725209],[ 0.87381814  0.1112105  -0.47303915  0.01755097],[0. 0. 0. 0.]
17:40:55.88,-27.373333333333335,19.293333333333333,-24.893333333333334,0.1970731685365854,0.18012195146341453,0.21894308731707324,0.011730205278592375,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.60869061  0.44107661 -0.65950524],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.9593088555403,-55.12807800975758,166.18835202433564,[ 0.87455011  0.11299681 -0.47127474  0.01714472],[ 0.87456029  0.11286525 -0.47126291  0.01780447],[0. 0. 0. 0.]
17:40:55.91,-27.373333333333335,19.293333333333333,-24.893333333333334,0.25804877829268297,0.2410975612195121,0.15796747756097573,0.011730205278592375,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.60869061  0.44107661 -0.65950524],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.9593088555403,-55.12807800975758,166.18835202433564,[ 0.87455011  0.11299681 -0.47127474  0.01714472],[ 0.87471267  0.11326733 -0.47088341  0.01780676],[0. 0. 0. 0.]
17:40:55.93,-27.386666666666667,19.293333333333333,-24.06666666666667,0.5629268270731709,0.05817073195121941,0.34089430682926836,0.011730205278592375,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.61664495  0.44661955 -0.64829005],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.869676871177518,-55.25374805061909,166.27541341630354,[ 0.8741781   0.11246103 -0.47211165  0.01660618],[ 0.87417329  0.11323104 -0.47188897  0.01790483],[0. 0. 0. 0.]
17:40:55.96,-27.96,19.16,-24.706666666666667,0.3190243880487805,-0.0028048778048781475,0.09699186780487812,0.011730205278592375,0.011730205278592375,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.61925253  0.43618562 -0.65289234],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.906424503956593,-55.20232923477674,167.00015779544,[ 0.87442291  0.11580848 -0.47101109  0.01102408],[ 0.87431355  0.11589271 -0.47115672  0.01249137],[0. 0. 0. 0.]
